name,profile_url,place_of_birth,longitude,latitude,popularity
Dakota Fanning,https://www.themoviedb.org/person/501,Conyers Georgia USA,-84.8071608,34.1481531,2249.1736568706588
Tim Robbins,https://www.themoviedb.org/person/504,West Covina California USA,-117.8963242650494,34.0471735,4298.449070057925
Jack Nicholson,https://www.themoviedb.org/person/514,Manhattan New York USA,-73.9598939,40.7896239,7027.887160363337
Glenn Close,https://www.themoviedb.org/person/515,Greenwich Connecticut USA,-73.6284598,41.0264862,512.2079961073704
Annette Bening,https://www.themoviedb.org/person/516,Topeka Kansas USA,-95.677556,39.049011,2095.35584001573
Danny DeVito,https://www.themoviedb.org/person/518,Asbury Park New Jersey USA,-74.0120817,40.2203907,1968.4479806667264
Sarah Jessica Parker,https://www.themoviedb.org/person/520,Nelsonville Ohio USA,-82.2318156,39.458681,605.9483678068735
Rod Steiger,https://www.themoviedb.org/person/522,Westhampton New York USA,-72.66257373251932,40.830311550000005,86.48783080601474
Lukas Haas,https://www.themoviedb.org/person/526,West Hollywood California USA,-118.3692894,34.0923014,542.9516832814952
Sylvia Sidney,https://www.themoviedb.org/person/528,New York City New York USA,-74.0060152,40.7127281,63.42543627756067
Joe Pantoliano,https://www.themoviedb.org/person/532,Hoboken New Jersey USA,-74.0323752,40.7433066,790.5596022271925
Mark Boone Junior,https://www.themoviedb.org/person/534,Cincinnati Ohio USA,-84.5124602,39.1014537,973.95367112121
Jorja Fox,https://www.themoviedb.org/person/536,New York City New York USA,-74.0060152,40.7127281,83.7836808915807
Stephen Tobolowsky,https://www.themoviedb.org/person/537, Dallas Texas USA,-96.7968559,32.7762719,842.6065230458696
Harriet Sansom Harris,https://www.themoviedb.org/person/538,Fort Worth Texas USA,-97.3327459,32.753177,341.17667384517256
Thomas Lennon,https://www.themoviedb.org/person/539,Chicago Illinois USA,-87.6244212,41.8755616,525.2911951648836
Marianne Muellerleile,https://www.themoviedb.org/person/543,St. Louis Missouri USA,-90.1995853,38.6264256,209.60834917975777
Larry Holden,https://www.themoviedb.org/person/544,Framingham Massachusetts USA,-71.4413097,42.3095704,279.59524249667305
Ethan Hawke,https://www.themoviedb.org/person/569,Austin Texas USA,-97.7436995,30.2711286,2409.1196568575083
Hampton Fancher,https://www.themoviedb.org/person/583,East Los Angeles California USA,-118.1720157,34.0239015,0.792007505790025
Sean Young,https://www.themoviedb.org/person/586,Louisville Kentucky USA,-85.759407,38.2542376,1454.0561302234532
Edward James Olmos,https://www.themoviedb.org/person/587,Los Angeles California U.S.,-72.7388789,-16.5867477,559.3328559317752
M. Emmet Walsh,https://www.themoviedb.org/person/588,Ogdensburg New York USA,-75.486374,44.694285,887.0296489220966
Daryl Hannah,https://www.themoviedb.org/person/589,Chicago Illinois USA ,-87.6244212,41.8755616,551.0435351501129
William Sanderson,https://www.themoviedb.org/person/590,Memphis Tennessee USA,-90.0516285,35.1490215,497.8873656647673
Brion James,https://www.themoviedb.org/person/591,Redlands California USA,-117.1827445,34.0550328,495.20267560542675
Joe Turkel,https://www.themoviedb.org/person/592,Brooklyn New York USA,-73.9497211,40.6526006,905.5522216195653
Joanna Cassidy,https://www.themoviedb.org/person/593,Haddonfield New Jersey USA,-75.0376707,39.8915022,266.0194145913498
Blanchard Ryan,https://www.themoviedb.org/person/644,Boston - Massachusetts - USA,-71.060511,42.3554334,16.548622814643558
Daniel Travis,https://www.themoviedb.org/person/646,Clarkston Michigan USA,-83.4188304,42.735863,13.560405003047267
Karen Allen,https://www.themoviedb.org/person/650,Carrollton Illinois USA,-90.4070632,39.3022693,2838.1663239124773
Don Fellows,https://www.themoviedb.org/person/662,Salt Lake City - Utah - USA,-111.8867975,40.7596198,91.5274046903707
William Hootkins,https://www.themoviedb.org/person/663,Dallas Texas USA,-96.7968559,32.7762719,266.07251587623057
Kate Capshaw,https://www.themoviedb.org/person/689,Fort Worth Texas USA,-97.3327459,32.753177,1555.5509521587476
Jennifer Grey,https://www.themoviedb.org/person/722,New York USA,-74.0060152,40.7127281,68.11602779238538
Patrick Swayze,https://www.themoviedb.org/person/723,Houston Texas USA,-95.3676974,29.7589382,1647.0352887225274
Cynthia Rhodes,https://www.themoviedb.org/person/724,Nashville Tennessee USA,-86.7742984,36.1622767,38.20215049826841
Jerry Orbach,https://www.themoviedb.org/person/725,New York City New York USA,-74.0060152,40.7127281,124.07790751800363
Jack Weston,https://www.themoviedb.org/person/726,Cleveland Ohio USA,-81.6936813,41.4996562,44.450034915033484
Jane Brucker,https://www.themoviedb.org/person/727,Falls Church Virginie USA,-77.1710914,38.882334,29.979399416703444
Kelly Bishop,https://www.themoviedb.org/person/728,Colorado Springs Colorado USA,-104.825348,38.8339578,89.51641282011013
Paula Trueman,https://www.themoviedb.org/person/734,New York City New York USA,-74.0060152,40.7127281,49.76386621876726
River Phoenix,https://www.themoviedb.org/person/741,Metolius Oregon USA,-121.1783761,44.5865092,107.71547251056953
Eddie Murphy,https://www.themoviedb.org/person/776,Brooklyn New York USA,-73.9497211,40.6526006,5144.611624696005
Judge Reinhold,https://www.themoviedb.org/person/777,Wilmington Delaware USA,-75.546589,39.7459468,160.67945702430842
John Ashton,https://www.themoviedb.org/person/778,Springfield Massachusetts USA,-72.5886727,42.1018764,142.77594913320652
Ronny Cox,https://www.themoviedb.org/person/780, Cloudcroft New Mexico U.S.,0.0,0.0,235.03055783335387
Paul Reiser,https://www.themoviedb.org/person/781,New York City New York USA,-74.0060152,40.7127281,827.6032928371832
Jonathan Banks,https://www.themoviedb.org/person/783,Washington District of Columbia USA,-77.0365427,38.8950368,252.6903049836433
James Russo,https://www.themoviedb.org/person/785,New York City New York USA,-74.0060152,40.7127281,286.8053584734392
Stephen Elliott,https://www.themoviedb.org/person/786,New York City New York U.S.,0.0,0.0,28.631315814467406
Gilbert R. Hill,https://www.themoviedb.org/person/787,Birmingham Alabama  U.S.A.,0.0,0.0,34.140172187959266
Art Kimbro,https://www.themoviedb.org/person/788,Sacramento California USA,-121.493895,38.5810606,83.62444007929828
Michael Champion,https://www.themoviedb.org/person/790,Anderson Indiana USA,-85.6802541,40.1053196,52.875940119920784
Edward Norton,https://www.themoviedb.org/person/819,Boston Massachusetts USA,-71.060511,42.3554334,3904.2708801385706
Edward Furlong,https://www.themoviedb.org/person/820,Glendale California USA,-118.2478471,34.1469416,3394.4937080141067
